RESULTS with all negative outcomes, 0 Jackpots

Provided initial credit 10 to user 1
User 1 lost 1, Now credit 9
User 1 lost 1, Now credit 8
User 1 lost 1, Now credit 7
User 1 lost 1, Now credit 6
User 1 lost 1, Now credit 5
User 1 lost 1, Now credit 4
User 1 lost 1, Now credit 3
User 1 lost 1, Now credit 2
User 1 lost 1, Now credit 1
User 1 lost 1, Now credit 0
User 1 has exhausted credit, continue with next
Total user credits are 0
========================================================================
Total Jackpots are 0,
Cheat counts are 0 that saved 0
========================================================================
Total hands played 10
Total won credit by house 10
Total Pre credit spent by house 10
and lost 0

[*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*]
Usual cases with wins and Cheats

Provided initial credit 10 to user 1
User 1 lost 1, Now credit 9
User 1 lost 1, Now credit 8
User 1 lost 1, Now credit 7
User 1 won Jackpot! with credit 20, previous credits 7
User 1 lost 1, Now credit 26
User 1 lost 1, Now credit 25
User 1 lost 1, Now credit 24
User 1 lost 1, Now credit 23
User 1 lost 1, Now credit 22
User 1 lost 1, Now credit 21
User 1 lost 1, Now credit 20
User 1 lost 1, Now credit 19
User 1 lost 1, Now credit 18
User 1 lost 1, Now credit 17
User 1 lost 1, Now credit 16
User 1 lost 1, Now credit 15
User 1 lost 1, Now credit 14
User 1 lost 1, Now credit 13
User 1 lost 1, Now credit 12
User 1 lost 1, Now credit 11
User 1 lost 1, Now credit 10
User 1 lost 1, Now credit 9
User 1 lost 1, Now credit 8
User 1 lost 1, Now credit 7
User 1 lost 1, Now credit 6
User 1 won Jackpot! with credit 40, previous credits 6
User 1 lost 1, Now credit 45
User 1 lost 1, Now credit 44
User 1 lost 1, Now credit 43
User 1 lost 1, Now credit 42
User 1 lost 1, Now credit 41
User 1 won Jackpot! with credit 40, previous credits 41
User 1 lost 1, Now credit 80
User 1 lost 1, Now credit 79
User 1 lost 1, Now credit 78
User 1 lost 1, Now credit 77
User 1 lost 1, Now credit 76
User 1 lost 1, Now credit 75
CHEAT for user with 75 credit :: Re-rolling, saved 10
User 1 lost 1, Now credit 74
User 1 lost 1, Now credit 73
CHEAT for user with 73 credit :: Re-rolling, saved 10
User 1 lost 1, Now credit 72
User 1 lost 1, Now credit 71
User 1 lost 1, Now credit 70
User 1 lost 1, Now credit 69
User 1 lost 1, Now credit 68
User 1 lost 1, Now credit 67
User 1 lost 1, Now credit 66
CHEAT for user with 66 credit :: Re-rolling, saved 20
User 1 lost 1, Now credit 65
User 1 lost 1, Now credit 64
User 1 lost 1, Now credit 63
User 1 lost 1, Now credit 62
User 1 lost 1, Now credit 61
User 1 lost 1, Now credit 60
User 1 lost 1, Now credit 59
User 1 lost 1, Now credit 58
User 1 lost 1, Now credit 57
User 1 lost 1, Now credit 56
User 1 lost 1, Now credit 55
User 1 lost 1, Now credit 54
User 1 lost 1, Now credit 53
User 1 lost 1, Now credit 52
User 1 lost 1, Now credit 51
User 1 lost 1, Now credit 50
User 1 lost 1, Now credit 49
User 1 lost 1, Now credit 48
User 1 lost 1, Now credit 47
User 1 lost 1, Now credit 46
User 1 lost 1, Now credit 45
User 1 lost 1, Now credit 44
User 1 lost 1, Now credit 43
User 1 lost 1, Now credit 42
User 1 lost 1, Now credit 41
User 1 lost 1, Now credit 40
User 1 lost 1, Now credit 39
User 1 lost 1, Now credit 38
User 1 lost 1, Now credit 37
User 1 lost 1, Now credit 36
User 1 lost 1, Now credit 35
User 1 lost 1, Now credit 34
User 1 lost 1, Now credit 33
User 1 lost 1, Now credit 32
User 1 lost 1, Now credit 31
User 1 lost 1, Now credit 30
User 1 lost 1, Now credit 29
User 1 lost 1, Now credit 28
User 1 lost 1, Now credit 27
User 1 lost 1, Now credit 26
User 1 lost 1, Now credit 25
User 1 lost 1, Now credit 24
User 1 lost 1, Now credit 23
User 1 lost 1, Now credit 22
User 1 lost 1, Now credit 21
User 1 lost 1, Now credit 20
User 1 lost 1, Now credit 19
User 1 lost 1, Now credit 18
User 1 lost 1, Now credit 17
User 1 lost 1, Now credit 16
User 1 lost 1, Now credit 15
User 1 lost 1, Now credit 14
User 1 lost 1, Now credit 13
User 1 lost 1, Now credit 12
User 1 lost 1, Now credit 11
User 1 lost 1, Now credit 10
User 1 lost 1, Now credit 9
User 1 lost 1, Now credit 8
User 1 won Jackpot! with credit 10, previous credits 8
User 1 lost 1, Now credit 17
User 1 lost 1, Now credit 16
User 1 lost 1, Now credit 15
User 1 lost 1, Now credit 14
User 1 lost 1, Now credit 13
User 1 lost 1, Now credit 12
User 1 lost 1, Now credit 11
User 1 lost 1, Now credit 10
User 1 lost 1, Now credit 9
User 1 lost 1, Now credit 8
User 1 lost 1, Now credit 7
User 1 lost 1, Now credit 6
User 1 lost 1, Now credit 5
User 1 lost 1, Now credit 4
User 1 lost 1, Now credit 3
User 1 lost 1, Now credit 2
User 1 lost 1, Now credit 1
User 1 lost 1, Now credit 0
User 1 has exhausted credit, continue with next
Total user credits are 0
========================================================================
Total Jackpots are 4,
Cheat counts are 3 that saved 40
========================================================================
Total hands played 120
Total won credit by house 120
Total Pre credit spent by house 10
and lost 110



[*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*][*]
SOME EXTREME CASE


Provided initial credit 10 to user 1
User 1 lost 1, Now credit 9
User 1 lost 1, Now credit 8
User 1 lost 1, Now credit 7
User 1 lost 1, Now credit 6
User 1 lost 1, Now credit 5
User 1 lost 1, Now credit 4
User 1 won Jackpot! with credit 40, previous credits 4
User 1 lost 1, Now credit 43
User 1 lost 1, Now credit 42
User 1 lost 1, Now credit 41
User 1 lost 1, Now credit 40
User 1 lost 1, Now credit 39
User 1 lost 1, Now credit 38
User 1 lost 1, Now credit 37
User 1 lost 1, Now credit 36
User 1 lost 1, Now credit 35
User 1 lost 1, Now credit 34
User 1 won Jackpot! with credit 20, previous credits 34
User 1 lost 1, Now credit 53
User 1 lost 1, Now credit 52
User 1 won Jackpot! with credit 30, previous credits 52
User 1 lost 1, Now credit 81
User 1 lost 1, Now credit 80
User 1 lost 1, Now credit 79
CHEAT for user with 79 credit :: Re-rolling, saved 20
User 1 lost 1, Now credit 78
User 1 lost 1, Now credit 77
User 1 lost 1, Now credit 76
User 1 lost 1, Now credit 75
User 1 won Jackpot! with credit 10, previous credits 75
User 1 lost 1, Now credit 84
